epoch,accuracy,loss,val_accuracy,val_loss
0,0.35399943590164185,1.328067660331726,0.44668588042259216,1.2782785892486572
1,0.6418488621711731,1.0042688846588135,0.6599423885345459,0.9526382088661194
2,0.7926930785179138,0.5895534157752991,0.6945244669914246,0.810164213180542
3,0.8438970446586609,0.4210412800312042,0.6916426420211792,0.8229240775108337
4,0.8784943222999573,0.3353850543498993,0.6945244669914246,0.8723722100257874
5,0.9017437100410461,0.27880311012268066,0.6714697480201721,0.9320763945579529
6,0.9261001944541931,0.2279975712299347,0.6714697480201721,0.9747110605239868
7,0.9357874393463135,0.19934482872486115,0.6541786789894104,1.063202142715454
8,0.9463050365447998,0.16821067035198212,0.6657060384750366,1.0772708654403687
9,0.9565458297729492,0.14319925010204315,0.6628242135047913,1.169156789779663
10,0.9598671197891235,0.1289960891008377,0.6570605039596558,1.2088693380355835
11,0.9651259183883667,0.115648552775383,0.6599423885345459,1.2676911354064941
12,0.9681705236434937,0.10537536442279816,0.6282420754432678,1.3842215538024902
13,0.9703847169876099,0.09485720098018646,0.6541786789894104,1.402580976486206
14,0.9725989699363708,0.08863497525453568,0.6426513195037842,1.4669969081878662
15,0.975089967250824,0.08043970167636871,0.6541786789894104,1.4521547555923462
16,0.9753667116165161,0.0819903165102005,0.6570605039596558,1.5201120376586914
17,0.974259614944458,0.07597430050373077,0.651296854019165,1.5995663404464722
18,0.9759202599525452,0.07769640535116196,0.651296854019165,1.5825797319412231
19,0.9753667116165161,0.07318349182605743,0.651296854019165,1.6276394128799438
20,0.9759202599525452,0.07215972244739532,0.6628242135047913,1.6590631008148193
21,0.976473867893219,0.06339718401432037,0.6484149694442749,1.6714503765106201
22,0.977027416229248,0.06465067714452744,0.6628242135047913,1.6960864067077637
23,0.977027416229248,0.06356266885995865,0.6657060384750366,1.670603632926941
24,0.9781345129013062,0.05843332037329674,0.6541786789894104,1.7288322448730469
